MunicipalityNumber,MunicipalityName,Canton,Country,Scenario1_RoofsOnly_PotentialSolarElectricity_GWh,Scenario1_RoofsOnly_PotentialSolarElectricity_Month01_GWh,Scenario1_RoofsOnly_PotentialSolarElectricity_Month02_GWh,Scenario1_RoofsOnly_PotentialSolarElectricity_Month03_GWh,Scenario1_RoofsOnly_PotentialSolarElectricity_Month04_GWh,Scenario1_RoofsOnly_PotentialSolarElectricity_Month05_GWh,Scenario1_RoofsOnly_PotentialSolarElectricity_Month06_GWh,Scenario1_RoofsOnly_PotentialSolarElectricity_Month07_GWh,Scenario1_RoofsOnly_PotentialSolarElectricity_Month08_GWh,Scenario1_RoofsOnly_PotentialSolarElectricity_Month09_GWh,Scenario1_RoofsOnly_PotentialSolarElectricity_Month10_GWh,Scenario1_RoofsOnly_PotentialSolarElectricity_Month11_GWh,Scenario1_RoofsOnly_PotentialSolarElectricity_Month12_GWh,Scenario2_RoofsOnly_PotentialSolarElectricity_GWh,Scenario2_RoofsOnly_PotentialSolarHeat_GWh,Scenario3_RoofsFacades_PotentialSolarElectricity_GWh,Scenario3_RoofsFacades_PotentialSolarElectricity_Month01_GWh,Scenario3_RoofsFacades_PotentialSolarElectricity_Month02_GWh,Scenario3_RoofsFacades_PotentialSolarElectricity_Month03_GWh,Scenario3_RoofsFacades_PotentialSolarElectricity_Month04_GWh,Scenario3_RoofsFacades_PotentialSolarElectricity_Month05_GWh,Scenario3_RoofsFacades_PotentialSolarElectricity_Month06_GWh,Scenario3_RoofsFacades_PotentialSolarElectricity_Month07_GWh,Scenario3_RoofsFacades_PotentialSolarElectricity_Month08_GWh,Scenario3_RoofsFacades_PotentialSolarElectricity_Month09_GWh,Scenario3_RoofsFacades_PotentialSolarElectricity_Month10_GWh,Scenario3_RoofsFacades_PotentialSolarElectricity_Month11_GWh,Scenario3_RoofsFacades_PotentialSolarElectricity_Month12_GWh,Scenario4_RoofsFacades_PotentialSolarElectricity_GWh,Scenario4_RoofsFacades_PotentialSolarHeat_GWh,Factsheet,Methodology
1,Aeugst am Albis,Zürich,CH,16.01,0.48,0.76,1.35,1.76,2,2.14,2.22,2.01,1.49,0.93,0.49,0.4,10.02,5.02,21.41,0.72,1.11,1.88,2.34,2.56,2.69,2.81,2.62,2.04,1.33,0.72,0.61,15.42,5.02,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/1.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/soldoc.html
2,Affoltern am Albis,Zürich,CH,68.31,1.8,3.02,5.59,7.6,8.84,9.52,9.84,8.75,6.28,3.77,1.84,1.45,46.5,20.53,92.14,2.73,4.5,7.9,10.22,11.4,12.08,12.57,11.56,8.71,5.48,2.75,2.22,70.33,20.53,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/2.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/soldoc.html
3,Bonstetten,Zürich,CH,24.62,0.68,1.1,2.05,2.72,3.14,3.35,3.49,3.14,2.3,1.4,0.71,0.56,14.37,9.07,32.93,0.99,1.6,2.86,3.63,4.04,4.24,4.45,4.13,3.16,2,1.03,0.82,22.68,9.07,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/3.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/soldoc.html
4,Hausen am Albis,Zürich,CH,29.3,0.89,1.38,2.45,3.22,3.64,3.92,4.04,3.66,2.72,1.7,0.92,0.76,19.04,8.82,39.87,1.37,2.06,3.47,4.35,4.73,5.01,5.2,4.86,3.79,2.48,1.38,1.18,29.61,8.82,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/4.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/soldoc.html
5,Hedingen,Zürich,CH,23.14,0.64,1.05,1.92,2.56,2.95,3.16,3.28,2.94,2.15,1.31,0.65,0.52,14.18,7.41,31.04,0.96,1.54,2.69,3.42,3.79,4,4.18,3.86,2.95,1.88,0.97,0.79,22.08,7.41,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/5.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/soldoc.html
6,Kappel am Albis,Zürich,CH,12.58,0.41,0.62,1.07,1.39,1.54,1.65,1.7,1.56,1.17,0.75,0.39,0.34,8.19,3.47,16.59,0.59,0.88,1.46,1.82,1.96,2.07,2.14,2.02,1.57,1.04,0.55,0.49,12.2,3.47,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/6.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/soldoc.html
7,Knonau,Zürich,CH,17.4,0.5,0.81,1.45,1.95,2.21,2.37,2.44,2.2,1.61,0.99,0.48,0.39,12.14,4.37,23.06,0.74,1.17,2,2.57,2.81,2.97,3.08,2.86,2.18,1.4,0.69,0.58,17.8,4.37,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/7.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/soldoc.html
8,Maschwanden,Zürich,CH,7.76,0.23,0.37,0.66,0.87,0.97,1.03,1.07,0.97,0.73,0.45,0.22,0.18,5.36,1.86,10.02,0.32,0.51,0.88,1.12,1.21,1.27,1.33,1.23,0.96,0.61,0.3,0.25,7.62,1.86,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/8.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/soldoc.html
9,Mettmenstetten,Zürich,CH,39.56,1.18,1.89,3.32,4.4,4.96,5.31,5.47,4.97,3.67,2.29,1.14,0.94,27.07,10.52,53.14,1.76,2.76,4.64,5.89,6.4,6.75,6.99,6.54,5.04,3.27,1.67,1.41,40.65,10.52,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/9.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/soldoc.html
10,Obfelden,Zürich,CH,31.61,0.87,1.45,2.65,3.54,4.02,4.3,4.46,4.03,2.95,1.8,0.86,0.68,18.92,10.56,43.05,1.32,2.16,3.77,4.81,5.25,5.52,5.76,5.38,4.12,2.62,1.29,1.04,30.36,10.56,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/10.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/soldoc.html
11,Ottenbach,Zürich,CH,19.44,0.53,0.88,1.64,2.18,2.47,2.64,2.75,2.48,1.83,1.11,0.53,0.41,11.49,6.53,26.07,0.78,1.28,2.29,2.92,3.19,3.35,3.51,3.27,2.52,1.59,0.78,0.61,18.12,6.53,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/11.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/soldoc.html
12,Rifferswil,Zürich,CH,11.33,0.36,0.55,0.96,1.25,1.4,1.5,1.55,1.41,1.05,0.66,0.35,0.29,7.77,2.84,14.88,0.52,0.78,1.31,1.63,1.77,1.87,1.94,1.82,1.41,0.92,0.5,0.42,11.32,2.84,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/12.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/soldoc.html
13,Stallikon,Zürich,CH,20.06,0.53,0.87,1.66,2.22,2.56,2.74,2.86,2.57,1.88,1.14,0.58,0.44,10.51,8.11,26.71,0.79,1.26,2.31,2.94,3.27,3.45,3.62,3.36,2.57,1.63,0.85,0.66,17.16,8.11,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/13.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/soldoc.html
14,Wettswil am Albis,Zürich,CH,25.45,0.66,1.08,2.07,2.82,3.3,3.55,3.69,3.28,2.35,1.4,0.7,0.53,14.32,10.46,33.75,0.98,1.57,2.88,3.72,4.19,4.44,4.64,4.26,3.21,2,1.03,0.8,22.62,10.46,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/14.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/soldoc.html
22,Benken (ZH),Zürich,CH,10.95,0.34,0.54,0.92,1.19,1.4,1.49,1.52,1.31,0.99,0.63,0.33,0.28,7.5,2.56,13.62,0.46,0.72,1.18,1.47,1.69,1.78,1.82,1.6,1.25,0.82,0.44,0.38,10.17,2.56,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/22.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/soldoc.html
23,Berg am Irchel,Zürich,CH,7.51,0.21,0.36,0.64,0.83,0.96,1.02,1.05,0.9,0.69,0.43,0.23,0.18,4.89,1.9,9.42,0.28,0.48,0.83,1.04,1.17,1.23,1.27,1.11,0.88,0.56,0.3,0.24,6.8,1.9,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/23.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/soldoc.html
24,Buch am Irchel,Zürich,CH,12.14,0.35,0.59,1.03,1.34,1.56,1.66,1.7,1.45,1.11,0.69,0.37,0.29,8.55,2.72,15.51,0.48,0.81,1.36,1.71,1.93,2.03,2.09,1.83,1.44,0.93,0.5,0.39,11.92,2.72,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/24.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/soldoc.html
25,Dachsen,Zürich,CH,13.73,0.4,0.64,1.14,1.5,1.79,1.91,1.95,1.66,1.24,0.77,0.4,0.32,7.99,4.23,17.81,0.57,0.9,1.54,1.94,2.24,2.35,2.42,2.12,1.64,1.06,0.56,0.46,12.07,4.23,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/25.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/soldoc.html
26,Dorf,Zürich,CH,6.48,0.18,0.31,0.55,0.72,0.83,0.88,0.91,0.78,0.59,0.37,0.2,0.16,4.18,1.7,8.44,0.25,0.44,0.75,0.94,1.05,1.1,1.14,1,0.79,0.51,0.28,0.22,6.14,1.7,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/26.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/soldoc.html
27,Feuerthalen,Zürich,CH,20.66,0.55,0.94,1.71,2.28,2.73,2.93,2.99,2.53,1.88,1.13,0.57,0.42,12.96,6.14,27.72,0.82,1.39,2.42,3.05,3.51,3.71,3.81,3.32,2.59,1.62,0.84,0.63,20.02,6.14,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/27.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/soldoc.html
28,Flaach,Zürich,CH,17.09,0.46,0.79,1.44,1.91,2.23,2.38,2.44,2.08,1.57,0.96,0.49,0.36,11.51,3.95,21.39,0.62,1.06,1.87,2.39,2.7,2.85,2.94,2.56,2,1.27,0.66,0.49,15.81,3.95,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/28.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/soldoc.html
29,Flurlingen,Zürich,CH,11.7,0.33,0.53,0.97,1.28,1.54,1.65,1.68,1.42,1.06,0.65,0.33,0.26,7.33,3.37,14.64,0.45,0.72,1.26,1.6,1.86,1.96,2.01,1.75,1.36,0.87,0.45,0.36,10.27,3.37,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/29.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/soldoc.html
31,Henggart,Zürich,CH,12.93,0.37,0.63,1.1,1.42,1.67,1.77,1.82,1.55,1.16,0.73,0.39,0.33,7.45,4.24,17.42,0.55,0.92,1.54,1.91,2.17,2.26,2.34,2.05,1.6,1.04,0.57,0.49,11.94,4.24,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/31.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/soldoc.html
33,Kleinandelfingen,Zürich,CH,21.12,0.62,1.03,1.79,2.32,2.72,2.88,2.96,2.53,1.91,1.2,0.64,0.52,13.15,5.9,28.16,0.9,1.49,2.49,3.09,3.49,3.65,3.78,3.31,2.6,1.69,0.92,0.76,20.19,5.9,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/33.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/soldoc.html
34,Laufen-Uhwiesen,Zürich,CH,15.24,0.46,0.73,1.28,1.66,1.97,2.1,2.14,1.83,1.38,0.86,0.46,0.37,9.05,4.69,20.1,0.68,1.05,1.76,2.18,2.49,2.62,2.69,2.36,1.85,1.21,0.66,0.55,13.91,4.69,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/34.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/soldoc.html
35,Marthalen,Zürich,CH,28.37,0.82,1.33,2.37,3.12,3.7,3.94,4.03,3.42,2.55,1.58,0.83,0.68,18.77,6.76,35.68,1.13,1.8,3.09,3.91,4.5,4.74,4.87,4.23,3.26,2.09,1.12,0.94,26.08,6.76,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/35.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/soldoc.html
37,Ossingen,Zürich,CH,21.06,0.61,1.01,1.77,2.32,2.73,2.9,2.97,2.53,1.9,1.18,0.63,0.52,15.38,4.16,26.49,0.83,1.37,2.31,2.91,3.32,3.49,3.59,3.13,2.43,1.55,0.85,0.71,20.81,4.16,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/37.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/soldoc.html
38,Rheinau,Zürich,CH,14.77,0.43,0.69,1.25,1.62,1.92,2.04,2.09,1.79,1.33,0.83,0.43,0.35,8.91,4.2,19.28,0.61,0.97,1.69,2.11,2.42,2.54,2.62,2.3,1.77,1.14,0.61,0.5,13.42,4.2,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/38.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/soldoc.html
39,Thalheim an der Thur,Zürich,CH,11.18,0.31,0.54,0.94,1.24,1.46,1.54,1.58,1.34,1.01,0.62,0.33,0.27,7.75,2.54,14.37,0.43,0.75,1.25,1.59,1.82,1.89,1.96,1.7,1.32,0.83,0.45,0.38,10.94,2.54,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/39.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/soldoc.html
