operator,website,municipalityNumber,municipalityName,operatorAddress,operatorPostalCode,canton
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,1,Aeugst am Albis,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,2,Affoltern am Albis,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,2,Affoltern am Albis,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,3,Bonstetten,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,4,Hausen am Albis,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,4,Hausen am Albis,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,4,Hausen am Albis,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,5,Hedingen,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,6,Kappel am Albis,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,7,Knonau,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,8,Maschwanden,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,9,Mettmenstetten,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,10,Obfelden,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,10,Obfelden,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,11,Ottenbach,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,12,Rifferswil,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,13,Stallikon,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,13,Stallikon,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,14,Wettswil am Albis,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,23,Berg am Irchel,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,24,Buch am Irchel,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,25,Dachsen,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,26,Dorf,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,27,Feuerthalen,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,27,Feuerthalen,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,28,Flaach,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,29,Flurlingen,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,31,Henggart,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,33,Kleinandelfingen,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,33,Kleinandelfingen,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,33,Kleinandelfingen,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,34,Laufen-Uhwiesen,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,34,Laufen-Uhwiesen,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,34,Laufen-Uhwiesen,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätsgenossenschaft Marthalen,www.eg-m.ch,35,Marthalen,"Ritterhof , Marthalen",8460,ZH
Elektrizitätsgenossenschaft Marthalen,www.eg-m.ch,35,Marthalen,"Ritterhof , Marthalen",8460,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,37,Ossingen,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,37,Ossingen,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,38,Rheinau,"Dreikönigstrasse, Zürich",8002,ZH
