period, operator, operatorLabel, product, category, gridusagename, gridusage before discount (cts./kWh), gridusagediscount discount (cts./kWh), gridusage after discount (cts./kWh), hereof grid: fixcosts (CHF p.a.), hereof grid: power price (CHF p.a.), hereof grid: working price (cts./kWh), energyname, energy before discount (cts./kWh), energy discount (cts./kWh), energy after discount (cts./kWh), hereof energy: fixcosts (CHF p.a.), hereof energy: power price (CHF p.a.), hereof energy: working price (cts./kWh), charge (cts./kWh), aidfee (cts./kWh), total (cts./kWh)
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H5,EKZ  Netz 400 F,8.78,0,8.78,36,0,7.2,EKZ Mixstrom ,15.202857142857143,0,15.202857142857143,36,0,14.722857142857142,0.65,2.3,26.93285714285714
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H1,EKZ  Netz 400 F,11.73,0,11.73,36,0,7.2,EKZ Mixstrom ,17.191964285714285,0,17.191964285714285,36,0,14.941964285714286,0.16,2.3,31.381964285714286
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H4,EKZ  Netz 400 F,9.313333333333333,0,9.313333333333333,36,0,7.2,EKZ Mixstrom ,15.732380952380952,0,15.732380952380952,36,0,14.932380952380953,0.65,2.3,27.995714285714286
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H7,EKZ Netz 400F & EKZ Netz 400WP,8.21653846153846,0,8.21653846153846,36,0,6.513461538461539,EKZ Mixstrom,15.065934065934066,0,15.065934065934066,36,0,14.78901098901099,0.16,2.3,25.74247252747253
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H8,EKZ  Netz 400 F,8.78,0,8.78,36,0,7.2,EKZ Mixstrom,15.412476190476191,0,15.412476190476191,36,0,14.93247619047619,0.65,2.3,27.14247619047619
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C6,EKZ Netz 16L,4.942,0,4.942,0,42960,1.25,EKZ Mixstrom Business,15.182533333333334,0,15.182533333333334,0,0,15.182533333333334,0.05,2.3,22.474533333333333
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C1,EKZ  Netz 400 F,8.73,0,8.73,36,0,7.2,EKZ Mixstrom,15.75,0,15.75,36,0,15.3,0.16,2.3,26.94
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C2,EKZ  Netz 400 F,8.18,0,8.18,36,0,7.2,EKZ Mixstrom,15.4058,0,15.4058,36,0,15.2858,0.65,2.3,26.5358
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H8,EKZ  Netz 400 F,8.78,0,8.78,36,0,7.2,EKZ Mixstrom,15.412476190476191,0,15.412476190476191,36,0,14.93247619047619,0.16,2.3,26.65247619047619
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H3,EKZ  Netz 400 F,9.313333333333333,0,9.313333333333333,36,0,7.2,EKZ Mixstrom ,15.491428571428571,0,15.491428571428571,36,0,14.691428571428572,0.16,2.3,27.264761904761905
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C3,EKZ Netz 400L,7.76,0,7.76,0,7200,1.7,EKZ Mixstrom Business,15.312,0,15.312,0,0,15.312,0.65,2.3,26.022
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C4,EKZ Netz 400L,6.944,0,6.944,0,21600,1.7,EKZ Mixstrom Business,15.1692,0,15.1692,0,0,15.1692,0.65,2.3,25.0632
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H5,EKZ  Netz 400 F,8.78,0,8.78,36,0,7.2,EKZ Mixstrom ,15.202857142857143,0,15.202857142857143,36,0,14.722857142857142,0.16,2.3,26.442857142857143
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C4,EKZ Netz 400L,6.944,0,6.944,0,21600,1.7,EKZ Mixstrom Business,15.1692,0,15.1692,0,0,15.1692,0.16,2.3,24.5732
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H6,EKZ  Netz 400 F,8.22,0,8.22,36,0,7.2,EKZ Mixstrom,14.640857142857143,0,14.640857142857143,36,0,14.496857142857143,0.16,2.3,25.320857142857143
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C7,EKZ Netz 16L,4.37376,0,4.37376,0,175062,1.25,EKZ Mixstrom Business,15.011255946666667,0,15.011255946666667,0,0,15.011255946666667,0.01,2.3,21.69501594666667
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C2,EKZ  Netz 400 F,8.18,0,8.18,36,0,7.2,EKZ Mixstrom,15.4058,0,15.4058,36,0,15.2858,0.16,2.3,26.0458
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H6,EKZ  Netz 400 F,8.22,0,8.22,36,0,7.2,EKZ Mixstrom,14.640857142857143,0,14.640857142857143,36,0,14.496857142857143,0.65,2.3,25.81085714285714
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H1,EKZ  Netz 400 F,11.73,0,11.73,36,0,7.2,EKZ Mixstrom ,17.191964285714285,0,17.191964285714285,36,0,14.941964285714286,0.65,2.3,31.871964285714284
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C6,EKZ Netz 16L,4.942,0,4.942,0,42960,1.25,EKZ Mixstrom Business,15.182533333333334,0,15.182533333333334,0,0,15.182533333333334,0.54,2.3,22.964533333333332
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H2,EKZ  Netz 400 F,10.38,0,10.38,36,0,7.2,EKZ Mixstrom ,16.364571428571427,0,16.364571428571427,36,0,14.92457142857143,0.65,2.3,29.69457142857143
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C5,EKZ Netz 16L,5.396,0,5.396,0,16110,1.25,EKZ Mixstrom Business,15.1692,0,15.1692,0,0,15.1692,0.65,2.3,23.5152
