"GEO_ID";"GEO_NAME";"VARIABLE";VALUE;"UNIT";"STATUS";"STATUS_DESC";"DESC_VAL";"PERIOD_REF";"SOURCE";"LAST_UPDATE";"GEOM_CODE";"GEOM";"GEOM_PERIOD";"MAP_ID";"MAP_URL"
"1";"Aeugst am Albis";"Part des maisons individuelles, en %";69.4;"%";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Gebäude- und Wohnungsstatistik (GWS)";"2024-09-16";"polg";"Communes";"2023-01-01";"28004";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/28004_fr.html"
"2";"Affoltern am Albis";"Part des maisons individuelles, en %";54.4;"%";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Gebäude- und Wohnungsstatistik (GWS)";"2024-09-16";"polg";"Communes";"2023-01-01";"28004";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/28004_fr.html"
"3";"Bonstetten";"Part des maisons individuelles, en %";71.2;"%";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Gebäude- und Wohnungsstatistik (GWS)";"2024-09-16";"polg";"Communes";"2023-01-01";"28004";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/28004_fr.html"
"4";"Hausen am Albis";"Part des maisons individuelles, en %";67.6;"%";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Gebäude- und Wohnungsstatistik (GWS)";"2024-09-16";"polg";"Communes";"2023-01-01";"28004";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/28004_fr.html"
"5";"Hedingen";"Part des maisons individuelles, en %";73.8;"%";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Gebäude- und Wohnungsstatistik (GWS)";"2024-09-16";"polg";"Communes";"2023-01-01";"28004";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/28004_fr.html"
"6";"Kappel am Albis";"Part des maisons individuelles, en %";61.2;"%";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Gebäude- und Wohnungsstatistik (GWS)";"2024-09-16";"polg";"Communes";"2023-01-01";"28004";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/28004_fr.html"
"7";"Knonau";"Part des maisons individuelles, en %";63.3;"%";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Gebäude- und Wohnungsstatistik (GWS)";"2024-09-16";"polg";"Communes";"2023-01-01";"28004";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/28004_fr.html"
"8";"Maschwanden";"Part des maisons individuelles, en %";52.5;"%";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Gebäude- und Wohnungsstatistik (GWS)";"2024-09-16";"polg";"Communes";"2023-01-01";"28004";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/28004_fr.html"
"9";"Mettmenstetten";"Part des maisons individuelles, en %";65.9;"%";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Gebäude- und Wohnungsstatistik (GWS)";"2024-09-16";"polg";"Communes";"2023-01-01";"28004";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/28004_fr.html"
"10";"Obfelden";"Part des maisons individuelles, en %";72;"%";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Gebäude- und Wohnungsstatistik (GWS)";"2024-09-16";"polg";"Communes";"2023-01-01";"28004";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/28004_fr.html"
"11";"Ottenbach";"Part des maisons individuelles, en %";71.6;"%";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Gebäude- und Wohnungsstatistik (GWS)";"2024-09-16";"polg";"Communes";"2023-01-01";"28004";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/28004_fr.html"
"12";"Rifferswil";"Part des maisons individuelles, en %";63;"%";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Gebäude- und Wohnungsstatistik (GWS)";"2024-09-16";"polg";"Communes";"2023-01-01";"28004";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/28004_fr.html"
"13";"Stallikon";"Part des maisons individuelles, en %";72.4;"%";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Gebäude- und Wohnungsstatistik (GWS)";"2024-09-16";"polg";"Communes";"2023-01-01";"28004";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/28004_fr.html"
"14";"Wettswil am Albis";"Part des maisons individuelles, en %";72.1;"%";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Gebäude- und Wohnungsstatistik (GWS)";"2024-09-16";"polg";"Communes";"2023-01-01";"28004";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/28004_fr.html"
"22";"Benken (ZH)";"Part des maisons individuelles, en %";63.2;"%";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Gebäude- und Wohnungsstatistik (GWS)";"2024-09-16";"polg";"Communes";"2023-01-01";"28004";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/28004_fr.html"
"23";"Berg am Irchel";"Part des maisons individuelles, en %";65.7;"%";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Gebäude- und Wohnungsstatistik (GWS)";"2024-09-16";"polg";"Communes";"2023-01-01";"28004";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/28004_fr.html"
