bfs_nr,municipality,canton,bfs_municipality_type_2012_25,electric_car_share,electric_car_count,electric_car_share_last_change,electric_car_charging_spot_count,electric_cars_per_charging_spot,electric_car_charging_spot_last_change,solar_potential_usage,solar_power_installed_kwp,solar_potential_usage_last_change,renewable_heating_share,renewable_heating_count,non_renewable_heating_count,no_heating_count,renewable_heating_share_coverage,renewable_heating_share_last_change,elec_consumption_mwh_per_year_per_capita,elec_consumption_households_mwh_per_year_per_capita,elec_consumption_mwh_per_year,elec_consumption_households_mwh_per_year,elec_consumption_date_from,elec_consumption_date_until,renelec_production_mwh_per_year_per_capita,renelec_production_mwh_per_year,renelec_production_water_mwh_per_year,renelec_production_solar_mwh_per_year,renelec_production_wind_mwh_per_year,renelec_production_biomass_mwh_per_year,renelec_production_waste_mwh_per_year,renelec_production_date_from,renelec_production_date_until
1,Aeugst am Albis,ZH,237,0.084375,108,2024-09-30,0,,2024-10-21,0.098419,1600,2024-10-07,0.68,374,176,362,0.977492,2024-09-26,4.4623,2.9119,8905,5811,2023-09-01,2024-08-31,0.6033,1204,0,1204,0,0,0,2023-10-01,2024-09-30
2,Affoltern am Albis,ZH,112,0.044457,314,2024-09-30,26,12.1,2024-10-21,0.060952,4458,2024-10-07,0.442615,887,1117,897,0.980068,2024-09-26,4.184,1.6492,53420,21056,2023-09-01,2024-08-31,0.306,3907,0,3271,0,637,0,2023-10-01,2024-09-30
3,Bonstetten,ZH,227,0.062902,186,2024-09-30,4,46.5,2024-10-21,0.069819,1813,2024-10-07,0.407604,461,670,436,0.986776,2024-10-21,2.8006,1.7356,15857,9827,2023-09-01,2024-08-31,0.237,1342,0,1342,0,0,0,2023-10-01,2024-09-30
4,Hausen am Albis,ZH,227,0.059941,142,2024-09-30,7,20.3,2024-10-21,0.107664,3266,2024-10-07,0.648746,724,392,689,0.980445,2024-10-24,3.9176,2.3004,15545,9128,2023-09-01,2024-08-31,0.6804,2700,0,2400,0,300,0,2023-10-01,2024-09-30
5,Hedingen,ZH,113,0.066636,143,2024-09-30,0,,2024-10-21,0.1333,3206,2024-10-07,0.496045,439,446,394,0.984604,2024-10-16,5.3155,2.1157,20941,8335,2023-09-01,2024-08-31,0.5985,2358,0,2358,0,0,0,2023-10-01,2024-09-30
6,Kappel am Albis,ZH,237,0.054707,43,2024-09-30,0,,2024-10-21,0.102096,1281,2024-09-09,0.677054,239,114,282,0.963581,2024-10-15,3.8211,2.191,5361,3074,2023-09-01,2024-08-31,0.7063,991,0,991,0,0,0,2023-10-01,2024-09-30
7,Knonau,ZH,227,0.06506,81,2024-09-30,0,,2024-10-21,0.249258,4452,2024-10-07,0.59322,315,216,345,0.99095,2024-09-18,3.0649,1.7989,7471,4385,2023-09-01,2024-08-31,1.3037,3178,0,3178,0,0,0,2023-10-01,2024-09-30
8,Maschwanden,ZH,235,0.054726,22,2024-09-30,0,,2024-10-21,0.109467,858,2024-09-09,0.638298,120,68,176,0.975871,2023-12-21,4.4044,2.9436,2810,1878,2023-09-01,2024-08-31,0.9561,610,0,610,0,0,0,2023-10-01,2024-09-30
9,Mettmenstetten,ZH,226,0.063171,206,2024-09-30,12,17.2,2024-10-21,0.114205,4618,2024-10-07,0.675502,841,404,826,0.993285,2024-10-14,4.3096,2.0281,25451,11977,2023-09-01,2024-08-31,0.5652,3338,0,3338,0,0,0,2023-10-01,2024-09-30
10,Obfelden,ZH,227,0.052721,186,2024-09-30,18,10.3,2024-10-21,0.15174,5010,2024-10-07,0.501122,670,667,682,0.992625,2024-10-13,3.7841,2.1372,22254,12569,2023-09-01,2024-08-31,0.5101,3000,0,2873,0,127,0,2023-10-01,2024-09-30
11,Ottenbach,ZH,226,0.061951,120,2024-09-30,2,60.0,2024-10-21,0.093491,1886,2024-10-07,0.536082,416,360,492,0.974635,2024-10-07,4.6116,2.7608,13879,8309,2023-09-01,2024-08-31,1.1643,3504,0,1422,0,2082,0,2023-10-01,2024-09-30
12,Rifferswil,ZH,236,0.066372,45,2024-09-30,0,,2024-10-21,0.114685,1312,2024-10-07,0.640625,205,115,330,0.958702,2024-08-07,3.9174,2.1954,4552,2551,2023-09-01,2024-08-31,0.8313,966,0,966,0,0,0,2023-10-01,2024-09-30
13,Stallikon,ZH,217,0.063875,151,2024-09-30,1,151.0,2024-10-21,0.053301,1173,2024-10-07,0.40509,382,561,520,0.982539,2024-10-16,3.7693,1.9891,14855,7839,2023-09-01,2024-08-31,0.2017,795,0,795,0,0,0,2023-10-01,2024-09-30
14,Wettswil am Albis,ZH,217,0.080999,266,2024-09-30,2,133.0,2024-10-21,0.097868,2772,2024-10-07,0.348732,385,719,439,0.97844,2024-10-01,3.4721,1.9555,18503,10421,2023-09-01,2024-08-31,0.3802,2026,0,2026,0,0,0,2023-10-01,2024-09-30
22,Benken (ZH),ZH,235,0.038721,23,2024-09-30,1,23.0,2024-10-21,0.040607,444,2024-10-07,0.545788,149,124,210,0.985714,2022-12-31,4.5196,2.3096,3810,1947,2023-09-01,2024-08-31,0.4199,354,0,354,0,0,0,2023-10-01,2024-09-30
23,Berg am Irchel,ZH,227,0.029148,13,2024-09-30,0,,2024-10-21,0.054845,420,2024-07-08,0.666667,160,80,155,0.951807,2023-11-29,4.4146,3.2139,2662,1938,2023-09-01,2024-08-31,0.5489,331,0,331,0,0,0,2023-10-01,2024-09-30
